job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writer,Writing,58464fe2c3a36844c000ab18,False,0,164565,Writing,David Phillips,David Phillips,0.6,,1161405,3,15
Director,Directing,58084817c3a36874ca003778,False,1,1296522,Directing,Claire Scanlon,Claire Scanlon,1.22,/6B5tD7ivj7JoYUM5DCtxM4ZRoe9.jpg,1163062,3,16
Writer,Writing,582fa957c3a3685b9a00249e,False,0,1237529,Writing,Andrew Guest,Andrew Guest,0.6,,1163062,3,16
Writer,Writing,5c492462c3a368478989af31,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,1166940,3,17
Director,Directing,5ece0a2021c4ca0020db81e9,False,1,465763,Directing,Maggie Carey,Maggie Carey,0.98,,1166940,3,17
Director,Directing,58464f56c3a368472201d69b,False,2,1224235,Writing,Alex Reid,Alex Reid,0.6,,1166941,3,18
Writer,Writing,5ecf2f6ae61e6d001ccc42fe,False,0,2305385,Writing,Jessica Polonsky,Jessica Polonsky,0.6,,1166941,3,18
Writer,Writing,58084845c3a36874ca0037a5,False,0,1697003,Writing,Phil Augusta Jackson,Phil Augusta Jackson,0.6,/oFOK3hokORd6kA4CsvbQA9en6Wv.jpg,1172728,3,19
Writer,Writing,5846461fc3a36847f901ee2c,False,0,1718778,Writing,Tricia McAlpin,Tricia McAlpin,1.313,/7DOeNEgm6CzudterXEPlunXOEsg.jpg,1172728,3,19
Director,Directing,5cc63e95c3a3684936827ddd,False,0,1347462,Directing,Michael McDonald,Michael McDonald,0.6,/yta7EXnjgdDlp5GCGKmR8VbdkHn.jpg,1172728,3,19
Director,Directing,5ba17f5e0e0a261ed40003e9,False,0,1739469,Directing,Payman Benz,Payman Benz,1.529,,1174511,3,20
Writer,Writing,5cc6363892514119e5f47e16,False,0,1304330,Acting,Gabe Liedman,Gabe Liedman,0.6,/g6Gy1mjXsAZx2YmyWCRuVGBCpbV.jpg,1174511,3,20
Director,Directing,5e9b1689fd6fa1001d01fc9c,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,1181840,3,21
Writer,Writing,5e9afaccfd6fa1002401dfe6,False,1,1215720,Writing,Laura McCreary,Laura McCreary,0.6,,1181840,3,21
Writer,Writing,58464fe2c3a36844c000ab18,False,0,164565,Writing,David Phillips,David Phillips,0.6,,1181841,3,22
Director,Directing,5ece099f528b2e001e63b9c4,False,1,1521301,Directing,Ryan Case,Ryan Case,0.828,/u4uKFVTQc9WmrokyPHnsuJyxrtH.jpg,1181841,3,22
Writer,Writing,5ecf2ef221c4ca0021dc8937,False,0,2657321,Writing,Alison Agosti,Alison Agosti,0.652,,1181841,3,22
Writer,Writing,58084845c3a36874ca0037a5,False,0,1697003,Writing,Phil Augusta Jackson,Phil Augusta Jackson,0.6,/oFOK3hokORd6kA4CsvbQA9en6Wv.jpg,1181842,3,23
Writer,Writing,582fa957c3a3685b9a00249e,False,0,1237529,Writing,Andrew Guest,Andrew Guest,0.6,,1181842,3,23
Director,Directing,5ece09135c071b001e275f13,False,2,2489947,Writing,dg,dg,0.6,,1181842,3,23
Writer,Writing,584645bac3a36849030083d3,False,2,1230199,Writing,Daniel J. Goor,Daniel J. Goor,0.833,,1206222,4,1
Director,Directing,58463fddc3a36844c000a403,False,2,178926,Acting,Michael McDonald,Michael McDonald,1.533,/lcpcdgwwSl6tuZvkgPReWEybdzM.jpg,1206222,4,1
