job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,5c3801720e0a267d552195c8,False,2,1212689,Directing,Ken Whittingham,Ken Whittingham,2.628,/tu5mskTc5wEvCzSyQJHPKKTcETI.jpg,1624957,3,10
Creator,Crew,602720c73975610041ef1064,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1624957,3,10
Writer,Writing,587bd7f9c3a3684a4a013d30,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1664109,3,11
Director,Directing,5b07d8d60e0a267b8a0043f4,False,1,1711826,Directing,Jude Weng,Jude Weng,1.166,/5z3euqstdxG10KzbrUNMCqKeUoS.jpg,1664109,3,11
Creator,Crew,602720c73975610041ef1064,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1664109,3,11
Writer,Writing,6070f127151c5c00598bddae,False,0,3045747,Writing,Christopher Encell,Christopher Encell,0.6,,1664109,3,11
Writer,Writing,587bd914925141410100792d,False,1,1356008,Writing,Jen Statsky,Jen Statsky,0.6,,1664110,3,12
Director,Directing,58855dff92514125b100047f,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1664110,3,12
Writer,Writing,587bd881c3a36846c300f7c6,False,1,1355653,Writing,Megan Amram,Megan Amram,1.019,/yk9aErnVjuAUZ25j45i05UrWzp5.jpg,1664110,3,12
Creator,Crew,602720c73975610041ef1064,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1664110,3,12
Director,Directing,578e2545c3a3681796003559,False,2,47506,Writing,Drew Goddard,Drew Goddard,1.689,/rcxxyIGDgPkXVgAQb9LLXfR89pv.jpg,1879380,4,1
Writer,Writing,587bd97fc3a368494c010f2d,False,2,1708292,Writing,Andrew Law,Andrew Law,0.608,/ambF0ZmnMhHxZAd7cNHFLwur8Tt.jpg,1879380,4,1
Writer,Writing,5bee28dc0e0a26266300d077,False,0,1703141,Acting,Kassia Miller,Kassia Miller,0.6,,1879380,4,1
Creator,Crew,602720c73975610041ef1064,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1879380,4,1
Director,Directing,578e2545c3a3681796003559,False,2,47506,Writing,Drew Goddard,Drew Goddard,1.689,/rcxxyIGDgPkXVgAQb9LLXfR89pv.jpg,1938962,4,2
Writer,Writing,587bd97fc3a368494c010f2d,False,2,1708292,Writing,Andrew Law,Andrew Law,0.608,/ambF0ZmnMhHxZAd7cNHFLwur8Tt.jpg,1938962,4,2
Writer,Writing,5bee28dc0e0a26266300d077,False,0,1703141,Acting,Kassia Miller,Kassia Miller,0.6,,1938962,4,2
Creator,Crew,602720c73975610041ef1064,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1938962,4,2
Writer,Writing,587bd7b99251413f1b013440,False,1,1294737,Writing,Aisha Muharrar,Aisha Muharrar,0.6,,1939845,4,3
Director,Directing,5db23ca04083b30015509916,False,1,2254959,Directing,Anya Adams,Anya Adams,1.512,/tRfg1JVoNmtHb6pIcPUr8bqPXtr.jpg,1939845,4,3
Creator,Crew,602720c73975610041ef1064,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1939845,4,3
Director,Directing,587bd80ec3a36849ff011370,False,2,1241313,Production,Morgan Sackett,Morgan Sackett,1.03,,1945236,4,4
Writer,Writing,5ba6b6650e0a2635f60165b5,False,0,1893777,Writing,Cord Jefferson,Cord Jefferson,0.6,,1945236,4,4
Writer,Writing,587bd7f9c3a3684a4a013d30,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1954743,4,5
Director,Directing,587bd7a89251413eec011fe9,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1954743,4,5
Director,Directing,5dc4d2156f8d950013c1945b,False,0,1893781,Directing,Steve Day,Steve Day,0.6,,1954744,4,6
Writer,Writing,5e17da071ad93b00153dd597,False,0,2505610,Writing,Lizzy Pace,Lizzy Pace,0.6,,1954744,4,6
Director,Directing,587bd7a89251413eec011fe9,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1964746,4,7
Writer,Writing,5e17dabb1ad93b00113ddb41,False,2,1298804,Writing,David King,David King,0.6,/moXiWdogov9nbioeqDxToi9zbX4.jpg,1964746,4,7
Writer,Writing,587bd85bc3a3684a650130e8,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1972661,4,8
Writer,Writing,587bd84ec3a36846c300f7b6,False,2,74357,Writing,Dylan Morgan,Dylan Morgan,0.677,,1972661,4,8
Director,Directing,5e17ddc0ffd44d00125c97cb,False,1,40462,Acting,Kristen Bell,Kristen Bell,5.821,/kP913krW2QPeetTZ9TNq8V2Z1kc.jpg,1972661,4,8
